Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-24,December,Gestionnaire de Stock / Achats - Alger,CAPAGO International,"Mohammadia, Mascara, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345868642,https://dz.linkedin.com/jobs/view/gestionnaire-de-stock-achats-alger-at-capago-international-4345868642,Bac,2 ans/years,General Search
2025-12-24,December,Gestionnaire de Stock / Achats - Oran,CAPAGO International,"Mohammadia, Mascara, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346063163,https://dz.linkedin.com/jobs/view/gestionnaire-de-stock-achats-oran-at-capago-international-4346063163,Bac,2 ans/years,General Search
2025-12-24,December,Personal Care Area Sales Manager,DISPROQUIMA,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Sales and Business Development,Internet Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346055272,https://dz.linkedin.com/jobs/view/personal-care-area-sales-manager-at-disproquima-4346055272,N/A,3 ans/years,General Search
2025-12-24,December,Gestionnaire de Stock / Achats - Annaba,CAPAGO International,"Mohammadia, Mascara, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346014067,https://dz.linkedin.com/jobs/view/gestionnaire-de-stock-achats-annaba-at-capago-international-4346014067,Bac,2 ans/years,General Search
2025-12-24,December,IT Technician,British School Algiers,"Djasr Kasentina, Algiers, Algeria",Entry level,Full-time,Information Technology,Primary and Secondary Education,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346014498,https://dz.linkedin.com/jobs/view/it-technician-at-british-school-algiers-4346014498,N/A,N/A,General Search
2025-12-24,December,Marketing and Sales Manager,Inner-Velocity,Algeria,Entry level,Full-time,Sales and Business Development,Professional Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346111724,https://dz.linkedin.com/jobs/view/marketing-and-sales-manager-at-inner-velocity-4346111724,Bac+5 / Master / Ingénieur,15 ans/years,General Search
2025-12-24,December,Sales Manager,"Jinko Solar Co., Ltd.","Algiers, Algeria",Associate,Full-time,Sales,Renewable Energy Semiconductor Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328747908,https://dz.linkedin.com/jobs/view/sales-manager-at-jinko-solar-co-ltd-4328747908,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-24,December,Development Delegate IT,Trust Bank Algérie,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Business Development and Sales,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346054252,https://dz.linkedin.com/jobs/view/development-delegate-it-at-trust-bank-alg%C3%A9rie-4346054252,Bac,N/A,General Search
2025-12-24,December,DIGITAL GRAPHIC DESIGNER,GMM Grammy PLC,"Saharidj, Bouira, Algeria",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Entertainment,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328935300,https://dz.linkedin.com/jobs/view/digital-graphic-designer-at-gmm-grammy-plc-4328935300,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-24,December,Production Manager,TECHNO CAST Group,"Kolea, Tipaza, Algeria",Mid-Senior level,Full-time,"Marketing, Public Relations, and Writing/Editing",Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346160051,https://dz.linkedin.com/jobs/view/production-manager-at-techno-cast-group-4346160051,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-24,December,Algeria Technical Service Engineer,Sungrow MENA & Central Asia,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Engineering and Customer Service,Solar Electric Power Generation,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345944024,https://dz.linkedin.com/jobs/view/algeria-technical-service-engineer-at-sungrow-mena-central-asia-4345944024,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-24,December,Project Planning & Quality engineer,GE Vernova,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Electric Power Generation,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345904034,https://dz.linkedin.com/jobs/view/project-planning-quality-engineer-at-ge-vernova-4345904034,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-24,December,English Teacher,Wall Street English Algeria,"Dély Brahim, Algiers, Algeria",Entry level,Full-time,Education and Training,Professional Training and Coaching,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346110042,https://dz.linkedin.com/jobs/view/english-teacher-at-wall-street-english-algeria-4346110042,Bac+5 / Master / Ingénieur,6 ans/years,General Search
2025-12-24,December,Graphic des,WedAtlas,"Rouiba, Algiers, Algeria",Entry level,Full-time,N/A,Digital Accessibility Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4032454804,https://dz.linkedin.com/jobs/view/graphic-des-at-wedatlas-4032454804,N/A,N/A,General Search
2025-12-24,December,Assistante,ULTIMATE STATION,"Oran, Oran, Algeria",Entry level,Contract,Administrative,Advertising Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345947111,https://dz.linkedin.com/jobs/view/assistante-at-ultimate-station-4345947111,N/A,N/A,General Search
2025-12-24,December,Sales Executive (H/F),"Media Smart - Communication, Web Marketing & Events","Constantine, Constantine, Algeria",Mid-Senior level,Full-time,Sales and Business Development,IT System Custom Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328825917,https://dz.linkedin.com/jobs/view/sales-executive-h-f-at-media-smart-communication-web-marketing-events-4328825917,N/A,Confirmé (3-5 ans),General Search
2025-12-24,December,Arabic (Maghrebi) Language Specialist - Freelance AI Trainer Project,"Meridial Marketplace, by Invisible",Algeria,Not Applicable,Contract,Other,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4286260622,https://dz.linkedin.com/jobs/view/arabic-maghrebi-language-specialist-freelance-ai-trainer-project-at-meridial-marketplace-by-invisible-4286260622,Bac+5 / Master / Ingénieur,Senior (> 5 ans),General Search
