Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-18,December,Office Manager,Marriott International,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Administrative,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344276490,https://dz.linkedin.com/jobs/view/office-manager-at-marriott-international-4344276490,N/A,N/A,General Search
2025-12-18,December,Chargé(e) de Gestion,AXA Partners,"Bir Mourad Rais, Algiers, Algeria",Not Applicable,Full-time,Other,Insurance,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4341294701,https://dz.linkedin.com/jobs/view/charg%C3%A9-e-de-gestion-at-axa-partners-4341294701,N/A,65 ans/years,General Search
2025-12-18,December,Senior Manager B2B Solutions,Ooredoo Algerie,"Algiers, Algeria",Mid-Senior level,Full-time,Marketing,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327973556,https://dz.linkedin.com/jobs/view/senior-manager-b2b-solutions-at-ooredoo-algerie-4327973556,Bac+8 / Doctorat,10 ans/years,General Search
2025-12-18,December,Etudiant pour stage en Management Consulting,PwC Algérie,"Algiers, Algiers, Algeria",Internship,Full-time,Management and Manufacturing,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344371397,https://dz.linkedin.com/jobs/view/etudiant-pour-stage-en-management-consulting-at-pwc-alg%C3%A9rie-4344371397,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-18,December,HSE,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344284912,https://dz.linkedin.com/jobs/view/hse-at-marriott-international-4344284912,Bac+3 / Licence,N/A,General Search
2025-12-18,December,Directeur des Finances,AXA Partners,"Bir Mourad Rais, Algiers, Algeria",Not Applicable,Full-time,Finance and Sales,Insurance,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4311110448,https://dz.linkedin.com/jobs/view/directeur-des-finances-at-axa-partners-4311110448,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-18,December,Engineering Manager,MS PHARMA,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,Engineering,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344543144,https://dz.linkedin.com/jobs/view/engineering-manager-at-ms-pharma-4344543144,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-18,December,Digital Development Engineer,Ooredoo Algerie,"Algiers, Algeria",Entry level,Full-time,Information Technology,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328120409,https://dz.linkedin.com/jobs/view/digital-development-engineer-at-ooredoo-algerie-4328120409,Bac+5 / Master / Ingénieur,0 ans/years,General Search
2025-12-18,December,Etudiant pour stage en Operational Solution,PwC Algérie,"Algiers, Algiers, Algeria",Internship,Full-time,Education and Training,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344484333,https://dz.linkedin.com/jobs/view/etudiant-pour-stage-en-operational-solution-at-pwc-alg%C3%A9rie-4344484333,Bac+4,N/A,General Search
2025-12-18,December,Purchasing Agent,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Purchasing and Supply Chain,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344197225,https://dz.linkedin.com/jobs/view/purchasing-agent-at-marriott-international-4344197225,Bac+3 / Licence,N/A,General Search
2025-12-18,December,Ts en environnement,ANNABA,"Annaba, Algeria",Entry level,Full-time,Other,Performing Arts,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328112106,https://dz.linkedin.com/jobs/view/ts-en-environnement-at-annaba-4328112106,N/A,3 ans/years,General Search
2025-12-18,December,Maintenance Manager,MARTUR FOMPAK International,"Oran, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,Motor Vehicle Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344514275,https://dz.linkedin.com/jobs/view/maintenance-manager-at-martur-fompak-international-4344514275,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-18,December,Etudiant pour stage en Operational Solution,PwC,"Chabou bidonville 1, Algiers, Algeria",Internship,Full-time,Education and Training,Professional Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344472718,https://dz.linkedin.com/jobs/view/etudiant-pour-stage-en-operational-solution-at-pwc-4344472718,Bac+4,N/A,General Search
2025-12-18,December,Délégué Médical (SETIF),Laboratoires Pharmalliance,"Setif, Setif, Algeria",Entry level,Full-time,Sales and Business Development,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344516186,https://dz.linkedin.com/jobs/view/d%C3%A9l%C3%A9gu%C3%A9-m%C3%A9dical-setif-at-laboratoires-pharmalliance-4344516186,N/A,Junior (0-2 ans),General Search
2025-12-18,December,Représentant commercial pharmaceutique,Rectus Parapharmaceutique,"Algiers, Algiers, Algeria",Entry level,Full-time,Sales and Business Development,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328092304,https://dz.linkedin.com/jobs/view/repr%C3%A9sentant-commercial-pharmaceutique-at-rectus-parapharmaceutique-4328092304,Bac+8 / Doctorat,N/A,General Search
2025-12-18,December,Account Development Lead,NielsenIQ,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,General Business,Market Research,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4324880236,https://dz.linkedin.com/jobs/view/account-development-lead-at-nielseniq-4324880236,Bac,7 ans/years,General Search
2025-12-18,December,Chef deparetement approvisionnement et  commercialisation,EPE HYDRO CANAL SPA,"Oued Rhiou, Relizane, Algeria",Mid-Senior level,Full-time,Management and Manufacturing,Construction,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327992274,https://dz.linkedin.com/jobs/view/chef-deparetement-approvisionnement-et-commercialisation-at-epe-hydro-canal-spa-4327992274,Bac+4,N/A,General Search
2025-12-18,December,Chargé(e) Commercial(e) & Communication Digitale,Nwadri,"Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Retail Apparel and Fashion,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344476400,https://dz.linkedin.com/jobs/view/charg%C3%A9-e-commercial-e-communication-digitale-at-nwadri-4344476400,Bac+4,3 ans/years,General Search
2025-12-18,December,Area Sales Manager-Agricultural Machinery,Zoomlion,"Algiers, Algiers, Algeria",Mid-Senior level,Full-time,"Business Development, General Business, and Sales","Agriculture, Construction, Mining Machinery Manufacturing and Machinery Manufacturing",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344356451,https://dz.linkedin.com/jobs/view/area-sales-manager-agricultural-machinery-at-zoomlion-4344356451,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-18,December,Talent Acquisition Specialist,Flowmingo AI,Algeria,Not Applicable,Part-time,Human Resources,"Software Development and Technology, Information and Media",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327876457,https://dz.linkedin.com/jobs/view/talent-acquisition-specialist-at-flowmingo-ai-4327876457,Bac+8 / Doctorat,N/A,General Search
2025-12-18,December,Customer Support Engineer,Motorola Solutions,"Algiers, Algiers, Algeria",Entry level,Full-time,Information Technology,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4303637639,https://dz.linkedin.com/jobs/view/customer-support-engineer-at-motorola-solutions-4303637639,Bac+5 / Master / Ingénieur,4 ans/years,General Search
