Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-27,December,HSE,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344284912,https://dz.linkedin.com/jobs/view/hse-at-marriott-international-4344284912,Bac+4,N/A,General Search
2025-12-27,December,"Territory Account Manager, Algeria",Nutanix,Algeria,Mid-Senior level,Full-time,Sales and Business Development,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327608356,https://dz.linkedin.com/jobs/view/territory-account-manager-algeria-at-nutanix-4327608356,N/A,10 ans/years,General Search
2025-12-27,December,Purchasing Agent,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Purchasing and Supply Chain,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344197225,https://dz.linkedin.com/jobs/view/purchasing-agent-at-marriott-international-4344197225,Bac+3 / Licence,N/A,General Search
2025-12-27,December,Spécialiste en e-commerce,Nabati Pharm,"Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346411721,https://dz.linkedin.com/jobs/view/sp%C3%A9cialiste-en-e-commerce-at-nabati-pharm-4346411721,N/A,N/A,General Search
2025-12-27,December,Product Marketing Manager,ITComp,"Bir Mourad Rais, Algiers, Algeria",Entry level,Full-time,Marketing and Sales,Information Technology & Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346317363,https://dz.linkedin.com/jobs/view/product-marketing-manager-at-itcomp-4346317363,N/A,25 ans/years,General Search
2025-12-27,December,Assistant administratif,Institut de Formations Horizon,"Bouzaréah, Algiers, Algeria",Entry level,Full-time,Administrative,Technical and Vocational Training,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350554842,https://dz.linkedin.com/jobs/view/assistant-administratif-at-institut-de-formations-horizon-4350554842,N/A,N/A,General Search
2025-12-27,December,Community Manager / Content Creator,ophryz,"Algiers, Algeria",Mid-Senior level,Full-time,Marketing and Sales,Retail Health and Personal Care Products,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350555555,https://dz.linkedin.com/jobs/view/community-manager-content-creator-at-ophryz-4350555555,N/A,N/A,General Search
2025-12-27,December,Full Stack Developer - EdTech,Paradox EN,Algeria,Entry level,Full-time,Engineering and Information Technology,Education,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346401555,https://dz.linkedin.com/jobs/view/full-stack-developer-edtech-at-paradox-en-4346401555,Bac+8 / Doctorat,3 ans/years,General Search
2025-12-27,December,"Volunteer Environment, Health and Safety Manager",IIHSE Algeria Branch,"Algiers, Algiers, Algeria",Mid-Senior level,Volunteer,Management and Manufacturing,Non-profit Organizations,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328481617,https://dz.linkedin.com/jobs/view/volunteer-environment-health-and-safety-manager-at-iihse-algeria-branch-4328481617,Bac+5 / Master / Ingénieur,15 ans/years,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329362607,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329362607,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329288123,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329288123,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329490468,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329490468,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329278409,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329278409,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329392502,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329392502,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329372480,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329372480,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329402384,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329402384,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329442249,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329442249,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329352545,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329352545,N/A,N/A,General Search
2025-12-27,December,Hotel Cleanliness Expert,Marriott International,"Algiers, Algiers, Algeria",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329471664,https://dz.linkedin.com/jobs/view/hotel-cleanliness-expert-at-marriott-international-4329471664,Bac+8 / Doctorat,N/A,General Search
2025-12-27,December,HR Business Partner Administrator,Emirates NBD,"Cairo, Egypt",Entry level,Full-time,Other,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329481709,https://eg.linkedin.com/jobs/view/hr-business-partner-administrator-at-emirates-nbd-4329481709,Bac+4,N/A,General Search
2025-12-27,December,Complaints Manager,Emirates NBD,"Cairo, Egypt",Mid-Senior level,Full-time,Customer Service and Other,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329313349,https://eg.linkedin.com/jobs/view/complaints-manager-at-emirates-nbd-4329313349,Bac+2 / BTS / DUT,5 ans/years,General Search
2025-12-27,December,"Away From Home Channel Manager, MENAP",Mondelēz International,"Cairo, Cairo, Egypt",Not Applicable,Full-time,Sales and Business Development,"Food and Beverage Manufacturing, Food and Beverage Services, and Manufacturing",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4342111159,https://eg.linkedin.com/jobs/view/away-from-home-channel-manager-menap-at-mondel%C4%93z-international-4342111159,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-27,December,Compliance Operations Officer.Egypt- OPS - Compliance OPS.Operations,Mashreq,Egypt,Mid-Senior level,Full-time,"Other, Information Technology, and Management",Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4277614787,https://eg.linkedin.com/jobs/view/compliance-operations-officer-egypt-ops-compliance-ops-operations-at-mashreq-4277614787,N/A,N/A,General Search
2025-12-27,December,Sustainability Data Analyst,Henkel,"Cairo, Cairo, Egypt",Mid-Senior level,Full-time,Information Technology and Information Technology,Chemical Manufacturing and Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4145128935,https://eg.linkedin.com/jobs/view/sustainability-data-analyst-at-henkel-4145128935,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-27,December,"WHS Officer, WHS",Amazon,"Cairo, Cairo, Egypt",Not Applicable,Full-time,Manufacturing and Other,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4318237400,https://eg.linkedin.com/jobs/view/whs-officer-whs-at-amazon-4318237400,Bac+4,2 ans/years,General Search
2025-12-27,December,Operations Director,PaxeraHealth,"Cairo, Cairo, Egypt",Mid-Senior level,Full-time,Management and Manufacturing,Internet Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346238311,https://eg.linkedin.com/jobs/view/operations-director-at-paxerahealth-4346238311,Bac+5 / Master / Ingénieur,15 ans/years,General Search
2025-12-27,December,"TikTok LIVE - Global Customer Service Representative, Arabic Speaking",TikTok,"Cairo, Cairo, Egypt",Not Applicable,Full-time,Other,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329371096,https://eg.linkedin.com/jobs/view/tiktok-live-global-customer-service-representative-arabic-speaking-at-tiktok-4329371096,N/A,2 ans/years,General Search
2025-12-27,December,"Customer Service Manager, CSU.CXC - CSU-Egypt COE.Client Experience and Conduct Group-MEGPCOE",Mashreq,Egypt,Mid-Senior level,Full-time,Other,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4308474361,https://eg.linkedin.com/jobs/view/customer-service-manager-csu-cxc-csu-egypt-coe-client-experience-and-conduct-group-megpcoe-at-mashreq-4308474361,N/A,N/A,General Search
2025-12-27,December,Front Desk Agent,Fairmont Hotels & Resorts,"Cairo, Cairo, Egypt",Entry level,Full-time,Management and Manufacturing,Hospitality,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4317435378,https://eg.linkedin.com/jobs/view/front-desk-agent-at-fairmont-hotels-resorts-4317435378,Bac,N/A,General Search
2025-12-27,December,Partner Support Advisor,Property Finder,"Cairo, Cairo, Egypt",Mid-Senior level,Full-time,Other,Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4317189079,https://eg.linkedin.com/jobs/view/partner-support-advisor-at-property-finder-4317189079,Bac+2 / BTS / DUT,1 ans/years,General Search
2025-12-27,December,Away From Home Key Accounts Manager,Kraft Heinz,"Cairo, Cairo, Egypt",Mid-Senior level,Full-time,Manufacturing,"Food and Beverage Services, Manufacturing, and Food and Beverage Manufacturing",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4325781942,https://eg.linkedin.com/jobs/view/away-from-home-key-accounts-manager-at-kraft-heinz-4325781942,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-27,December,Quality Assurance,TAT IT Technolgies,"Cairo, Cairo, Egypt",Mid-Senior level,Contract,Quality Assurance,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329239302,https://eg.linkedin.com/jobs/view/quality-assurance-at-tat-it-technolgies-4329239302,Bac+8 / Doctorat,N/A,General Search
2025-12-27,December,Sr. Manager Logistics Operations,talabat,"Qesm El Maadi, Cairo, Egypt",Mid-Senior level,Contract,General Business,Software Development and IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4325860452,https://eg.linkedin.com/jobs/view/sr-manager-logistics-operations-at-talabat-4325860452,N/A,Senior (> 5 ans),General Search
2025-12-27,December,Inspection Officer,TÜV Rheinland Group,"Cairo, Cairo, Egypt",Entry level,Full-time,General Business,Utilities,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344627790,https://eg.linkedin.com/jobs/view/inspection-officer-at-t%C3%BCv-rheinland-group-4344627790,Bac+2 / BTS / DUT,N/A,General Search
2025-12-27,December,Senior Associate - Trade Operations.MGN Egypt - FTC - Murabaha Desk.Operations-MEGPCOE,Mashreq,Egypt,Entry level,Full-time,Management and Manufacturing,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4278060044,https://eg.linkedin.com/jobs/view/senior-associate-trade-operations-mgn-egypt-ftc-murabaha-desk-operations-megpcoe-at-mashreq-4278060044,N/A,N/A,General Search
2025-12-27,December,Talent Acquisition Recruiter,IVY STEM International Schools,"Cairo, Cairo, Egypt",Entry level,Full-time,Human Resources,Education Administration Programs,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350494924,https://eg.linkedin.com/jobs/view/talent-acquisition-recruiter-at-ivy-stem-international-schools-4350494924,N/A,N/A,General Search
