Date,Title,Company,Location,Description,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-15,"Officer, Client Service Stanbic IBTC Pension Managers",Stanbic Bank Tanzania,"Lagos, Lagos State, Nigeria","Job Description
The Client Service Officer should be able to attend to walk-in clients in an efficient, effective and courteous manner to achieve customer satisfaction, repeat patronage and referrals. He/she is expected to maintain a high level of integrity and ethical standards. Client Service Officer is expected to have the adequate knowledge to attend to any number of client enquiries, pension payment applications and complaints at their locations and promptly escalate Material Difficult and Unusual (MDU) situations/ transactions to the relevant Branch Service Manager (BSM) and where necessary, engage the Regional Branch Service Manager (BSM). The Client Service Officer should be able to stand as a useful medium of feedback to management because of the sensitive nature of regular interface with clients. Client Service Officer is expected to proactively and reactively enlighten customers about the group products.
Qualifications
Type of Qualification:
Minimum of First degree in Arts, Social Science or any other related field.
Minimum of 2 years post Nysc experience.
Knowledge and experience in effective service delivery is an added advantage
Additional Information
Behavioural Competencies
Establishing Rapport
Generating Ideas
Interacting with People
Making Decisions
Managing Tasks
Pursing Goals
Upholding Standard
Technical Competencies
Customer Understanding (Pension)
Product and Services Knowledge
Product Related Systems (Pension)",Entry level,Full-time,Finance and Sales,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327791784,https://ng.linkedin.com/jobs/view/officer-client-service-stanbic-ibtc-pension-managers-at-stanbic-bank-tanzania-4327791784,Bac+8 / Doctorat,2 ans/years,General Search
2025-12-15,Estates Officer,Stanbic Bank Tanzania,Johannesburg Metropolitan Area,"Job Description
To manage and administer the end to end process of complex deceased estates which will involve Businesses/ Income Tax & Post Death Taxes, Capital Gains Tax and Estate Duty. This is aligned to the specific requirements of the Standart Trust Limited strategy, legislation, business plans and processes.
Qualifications
Completed Matric
Legal Diploma
Experience
5 - 7 years Administer deceased estates with a firm of attorneys or a Trust Company having controlled estates for this period at the Master of the High Court. Experience in Tax Knowledge and Dealing with Business Interests.
Additional Information
Behavioural Competencies
Challenging Ideas
Convincing People
Developing Expertise
Embracing Change
Exploring Possibilities
Interacting with People
Technical Competencies
Analysing and Interpreting Information
Client Relationship Management
Client Servicing
Legal Administration
Risk Management",Entry level,Full-time,Other,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327821742,https://za.linkedin.com/jobs/view/estates-officer-at-stanbic-bank-tanzania-4327821742,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-15,Finance Assistant,The Shoprite Group of Companies,"Centurion, Gauteng, South Africa","The purpose of the Financial Assistant is to efficiently execute accounts processing, accounting and bookkeeping accuracy for the creditors’ function, whilst assisting with the debtors and month-end general ledger closure. The main purpose of this position is to assist the Divisional Financial Manager with all functions related to the division's financial processes. This role leverages knowledge and experience of general ledger accounts and accounting, and journal entry processing to execute month-end procedures, accounting system alignment, meeting payment deadlines and management debtor/creditor related queries and escalations. As part of the financial team, the Financial Assistant delivers assists the team to deliver value through the practice of sound bookkeeping and accounting principles within the Shoprite business.
He or she must have a high level of attention to detail, the ability to contribute to strategic and tactical objectives. Energy, initiative and enthusiasm is required.",Entry level,Full-time,Finance and Sales,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4343782136,https://za.linkedin.com/jobs/view/finance-assistant-at-the-shoprite-group-of-companies-4343782136,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,"Officer, Underwriting, Stanbic IBTC Insurance Limited",Stanbic Bank Tanzania,"Lagos, Lagos State, Nigeria","Job Description
To assess and underwrite corporate clients’ risks in line with the approved policies and standards for the company underwriting profitability. To monitor key performance indicators on various products to ensure optimal performance. Drive system changes to ensure they are tested and implemented within deadlines with support from Underwriters, Product Managers, Project managers and IT. To deliver on underwriting changes that improves on efficiency using technology and new underwriting practices
Qualifications
First Degree in any related discipline
3-4 years post-NYSC experience
Experience of the Nigerian insurance market as well as the regulatory framework.
Experience in general financial or accounting or risk management knowledge is an added advantage
Additional Information
Behavioural Competencies
Challenging Ideas
Developing Expertise
Embracing Change
Examining Information
Producing Output
Providing Insights
Team Working
Thinking Positively
Technical Competencies
Analysing Insurable Risk
Insurance Principles
Insurance Products & Services
Risk/ Reward Thinking
Underwriting and Pricing Risk",Entry level,Full-time,Sales and Business Development,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327791782,https://ng.linkedin.com/jobs/view/officer-underwriting-stanbic-ibtc-insurance-limited-at-stanbic-bank-tanzania-4327791782,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-15,"Graduate, Trainee",Stanbic Bank Tanzania,"Maseru, Maseru District, Lesotho","Job Description
To provide accurate, reliable and timely data analysis support for an allocated portfolio across multiple products and/or segments across the PPB lifecycle
Analyse customer data and present findings and insights to the business to enable a deeper understanding of customer behaviours and to drive customer centric and data driven decisions.
Comply with all applicable policies, standards, systems, processes, procedures and data governance standards so that all relevant risk and governance requirements are fulfilled while consistently delivering quality products and services.
Consolidate and integrate all data to ensure that reporting outputs are rationalised to avoid duplication and ensure that generation of MI that is reconcilable to trusted data sources.
Determine the data required, identify the appropriate data sources and where required integrate multiple data sources in support of the business specifications. Formulate and employ robust data analysis techniques to ensure adequacy, and legitimacy of data.
Engage with business to gain a comprehensive understanding of goals, processes and challenges, identify and propose measures and Key Performance Indicators and prepare the Business Requirements Document, in line with the MI framework, that can be translated into functional and technical specifications by the design and development team to support the achievement of business objectives.
Identify opportunities for automation of repetitive reports and assist with the development of look up or reference tables that will facilitate the interpretation of datasets, to reduce human error and to improve the standard and quality of reports produced.
Perform data preparation which includes data cleaning, standardisation analysis and daily use of data sources. Complete data testing as part of data migration and new system implementation projects to ensure that the integrity of the data is maintained, and all reports are reliable and accurate.
Qualifications
Qualifications
Minimum: BSc in Computer Science, Information Systems, Computer Systems Engineering, BSc in Data science or any IT-related field.
Practical experience in data analytics (data science experience is an added advantage
Knowledge/Technical/Expertise
The ability to analyse statistics and other data, interpret and evaluate results and create reports and presentations for use by others.
The ability to ensure the accuracy and consistency of data for the duration that the data is stored as well as preventing unintentional alterations or loss of data.
Knowledge of Banking & Financial Service
Database Management: Oracle, MSSQL, MySQL
BI Tools: Power BI, Tableau
Programming: Python, R , MATLAB
Knowledge of Descriptive, Diagnostic, Predictive, and Prescriptive Analytics
Familiarity with retail banking products and market dynamics is an advantage.
Additional Information
Behavioural Competencies
Articulating Information
Challenging Ideas
Checking Things
Convincing People
Documenting Facts
Embracing Change
Examining Information
Exploring Possibilities
Interacting with People
Interpreting Data
Producing Output
Providing Insights",Internship,Full-time,"Research, Analyst, and Information Technology",Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327731681,https://ls.linkedin.com/jobs/view/graduate-trainee-at-stanbic-bank-tanzania-4327731681,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,Cashier/Petrol Attendant,African Safari Group,"Brakpan, Gauteng, South Africa","We are hiring 10 petrol attendants and cashiers around Gauteng , we are offering full time. Experience or non experience can apply. For more information call HR AGENCY or send your CV via whatsapp +27 61 302 5106 only if you are interested. We are in search of enthusiastic, friendly Petrol Attendants responsible for providing prompt, courteous and knowledgeable service to clients and customers.The Attendant primary responsibility is to provide fuel service and ensure the fuel area is safe,clean and free of debris. Other duties will include lifting / moving of boxes, removal of debrisfrom steps / porch area, janitorial duties and other duties as assigned.The Petrol Attendant is responsible for dispensing fuel, cashiering, collecting cashpayments from customers and making change, or charging purchases to customers' credit cardsand providing...",Entry level,Full-time,Other,Travel Arrangements,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4349925220,https://za.linkedin.com/jobs/view/cashier-petrol-attendant-at-african-safari-group-4349925220,Bac+2 / BTS / DUT,N/A,General Search
2025-12-15,Patent Paralegal (Fixed-Term),EIP,"Sandton, Gauteng, South Africa","Leeds, Bath or Cardiff | Hybrid Working | Full-Time | Fixed-Term (12 months)
Looking to make an impact in a leading patent firm?
We’re looking for a Patent Paralegal to join EIP on a
12-month fixed-term contract
to cover maternity leave, supporting our team with essential patent work and administrative expertise.
At EIP, we’re more than just a tier-one patent firm - we’re a team that values curiosity, collaboration, and continuous career development. This maternity cover role presents a great opportunity to build on your experience in a dynamic legal environment, working alongside some of the best in the field.
In this role, you’ll work alongside attorneys to drive the progress of client portfolios, applying your knowledge of IP procedures to manage tasks proactively and ensure deadlines are met. Your ability to handle processes with confidence and efficiency will be key to your success.
What We’re Looking For
We’re looking for someone who’s proactive, organised, and ready to make an impact. You’ll bring:
Minimum 3+ years’ experience in a patent paralegal role
Completed the Introductory Patent Paralegal Course (IPPC)
Strong understanding of patent processes and procedures
Experience using Inprotech or similar patent databases
Familiarity with document management systems
Confident communication skills and a positive, can-do attitude
A collaborative mindset and keen attention to detail
Why you’ll love working here
EIP is an award-winning patent practice known for handling high-value, complex patent matters. With offices across the UK, Germany, Sweden, and the US, we combine global reach with a collaborative, forward-thinking culture where innovation, inclusion, and teamwork thrive.
We offer a comprehensive benefits package, including private medical insurance and flexible and hybrid working arrangements to support your wellbeing and work-life balance. We’re also deeply committed to diversity and inclusion - proud supporters of the IP Inclusive initiative and signatories to the IP Inclusive Charter.
Think you’re a great fit?
If you're passionate about patents and thrive in a fast-paced legal environment, we’d love to hear from you!",Entry level,Full-time,Legal,Law Practice,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350130990,https://za.linkedin.com/jobs/view/patent-paralegal-fixed-term-at-eip-4350130990,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-15,Cashier/Petrol Attendant,African Safari Group,"Soweto, Gauteng, South Africa","We are hiring 10 petrol attendants and cashiers around Gauteng , we are offering full time. Experience or non experience can apply. For more information call HR AGENCY or send your CV via whatsapp +27 61 302 5106 only if you are interested. We are in search of enthusiastic, friendly Petrol Attendants responsible for providing prompt, courteous and knowledgeable service to clients and customers.The Attendant primary responsibility is to provide fuel service and ensure the fuel area is safe,clean and free of debris. Other duties will include lifting / moving of boxes, removal of debrisfrom steps / porch area, janitorial duties and other duties as assigned.The Petrol Attendant is responsible for dispensing fuel, cashiering, collecting cashpayments from customers and making change, or charging purchases to customers' credit cardsand providing...",Entry level,Full-time,Other,Travel Arrangements,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4350040510,https://za.linkedin.com/jobs/view/cashier-petrol-attendant-at-african-safari-group-4350040510,Bac+2 / BTS / DUT,N/A,General Search
2025-12-15,"Graduate, Trainee- Technology",Stanbic Bank Tanzania,"Maseru, Maseru District, Lesotho","Job Description
Design, develop, and deliver secure Cloud-based solutions for the Bank using built-for-cloud strategies. Ensure services on Cloud Infrastructure are reliable, secure, and perform efficiently. Continually improve the delivery of Cloud-based solutions, challenge the status quo, and reduce technical debt. Contribute to enhancing day-to-day operations of Cloud Infrastructure whilst maintaining best practices in security and lean methodologies.
Build, design, deploy, maintain, and lead the implementation of Cloud solutions across multiple public cloud offerings, e.g. AWS, Google Cloud and Microsoft Azure
Participate in technology evaluation and reengineering teams to support strategy-definition and continuous process improvement activities
Help implement the technology direction, vision, and strategy to enable Cloud technology adoption
Implement and refine cloud future state architectures and roadmaps including architecture standards, guidelines, and industry best practices.
Act as project lead around further software defined services and offerings
Develop, enhance, and maintain automation of cloud enablement tools
Recognize and resolve all business issues and impact
Assess urgency of issues and facilitate follow-up and resolution accordingly including service quality initiatives to support a “five nines” product availability environment
Qualifications
Qualification
Degree in Computer Science, Information Technology/Systems or related field
Certification/Active Membership of a professional organization would be an added advantage
Cloud Administrator certification
Knowledge
Extensive knowledge of Linux based systems including Hardware, software, networking and storage
Technical knowledge of infrastructure components such as Network, Storage, Linux/Windows, Application knowledge of Java, .Net, and IT security.
Knowledge with configuring software defined networking and security configurations, including security groups and ACLs
Knowledge with DevOps procedures and processes and with working in an Agile environment
Knowledge with troubleshooting very complex distributed environments pertaining to connectivity and application performance and monitoring tools and offering high-level strategic planning and advice to an entity that will allow for the successful adoption or migration of Cloud-based technologies or services
Additional Information
Behavioural Competencies
Adopting Practical Approaches
Articulating Information
Developing Expertise
Establishing Rapport
Exploring Possibilities
Following Procedures
Interacting with People
Meeting Timescales
Producing Output
Team Working
Understanding People
Upholding Standards
Technical Competencies
Application Knowledge for Support
Documenting
IT Knowledge
IT Systems
Service Level Management
Technical Analysis
Trouble Shooting
Written Communication",Internship,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327771763,https://ls.linkedin.com/jobs/view/graduate-trainee-technology-at-stanbic-bank-tanzania-4327771763,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-15,售后技术支持工程师,万丰奥特控股集团有限公司,"Sandton, Gauteng, South Africa","全国
首页
职位
校园
海归
简历优化
猎聘APP
我是猎头
我是招聘方 NEW
登录/注册
邀请应聘
我的投递
我的收藏
猎聘APP
投诉建议
售后技术支持工程师 10-20k·14薪
绍兴-新昌县 3-5年 大专
聊一聊
收藏
微信分享扫码
微信扫一扫
转发给你的朋友吧
五险一金 带薪年假 餐费补贴 年底双薪 定期体检 免费班车 提供住宿 发展空间大 公司规模大 管理规范
周女士 6天前在线 已认证
人力资源部经理
万丰集团
聊一聊
职位介绍 一、岗位职责 1、解决客户钻石飞机运行和维修中出现的各种技术问题； 2、给客户提供维修指导，按需协调资源，安排维修事宜； 3、分析客户机队技术问题，按需与设计机构、生产机构等相关方协调沟通； 4、处理客户的技术索赔事宜； 5、到客户现场进行调研、技术指导、协助排故、事件调查等。 二、基本条件 1、具有丰富的通航活塞类飞机维修和工程技术经验； 2、具备熟练的航空维修技能和航空技术文件查阅技能； 3、了解民航法规、通航市场； 4、书面语言能力好，英语听说读写能力好，沟通能力好，工作责任心强； 5、具有钻石飞机经验，民航维修执照，或英语流利者优先。 其他信息 语言要求：英语、普通话 行业要求：全部行业
公司简介
万丰奥特控股集团（以下简称“万丰集团”）创立于1994年，是一家“大交通”领域以先进制造业为核心的国际化企业。一直以来，万丰集团秉持“实业报国、产业强国”的责任使命，遵循“永恒提升价值、不断奉献社会”的理想信念，产业涉足汽车部件、航空工业、智能装备、金融投资等领域，致力于“营造国际品牌、构筑百年企业”。 历经20多年的发展，万丰集团资产超300亿元、员工1.5万人以上，位列中国民营企业500*强、中国汽车工业30强、浙江省100强，已形成轻量化应用汽车部件和通用飞机制造“双引擎”驱动的发展格局，打造全球汽车金属部件轻量化推动者和领*导者、通用飞机创新制造企业的全球领跑者。其中：轻量化铝轮、新材料镁合金产业实现细分市场全球；新工艺涂覆、智能装备工业机器人产业实现细分市场国内；战略性新兴产业通航产业成为全国民企集飞机制造、机场建设、航校培训、通航运营、低空保障、航空俱乐部等于一体全产业链的样板，占地5.5平方公里的万丰航空小镇已列入国家通用航空综合示范区、国家空中游览基地、国家飞行营地、浙江省特色小镇，所产拥有全部知识产权的钻石通航飞机进入世界品牌前三强。借助上市公司平台，万丰集团朝着行业领*先、向千亿目标迈进，从经营国际化向资本、人才、科技、品牌国际化转型升级。 步入新发展阶段，贯彻新发展理念，融入新发展格局，万丰集团将牢牢抓住国家大力发展战略性新兴产业的历史机遇，践行《中国制造2025》战略和“国际国内双循环”新发展格局，专注实体经济，弘扬工匠精神，以数字经济为牵引，以实业经营为基础，不断扩大产业规模，带动周边群体共享发展，实现“百强百誉百年万丰”的战略目标，争当浙江省高质量发展共同富裕标杆企业，为振兴地方经济、推动行业进步、促进社会发展贡献万丰更多的智慧和力量。
查看全部
猎聘温馨提示： 2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。 了解更多安全防范知识> 查看全部
如您发现平台内招聘方存在以下违规行为的，请立即举报
a. 扣押您的身份证件或者其他证件；
b. 要求您提供担保人、担保金或者以其他名义向您收取财物（ 如培训费、体检费、资料费、置装费、押金等）；
c. 强迫您入股或者向您集资；
d. 以招聘名义牟取不正当利益；
e. 发布虚假招聘广告信息；
f. 工作时长违反劳动法规定；
g. 存在其他损害您的合法权益的行为。
职场助手
猜你喜欢
飞机总装质量检验工程师
【 青岛-莱西 】
8-13k·14薪
万丰集团
汽车零部件及配件 战略融资 10000人以上
王女士
人力经理
机务
【 重庆-渝北区 】
4-6k
重庆空港飞机维修有限公司
航空/航天设备 融资未公开 100-499人
江先生
行政
飞行航线维修技术员
【 重庆-渝北区 】
10-20k
重庆空港飞机维修有限公司
航空/航天设备 融资未公开 100-499人
江先生
行政
院校合作经理
【 广州-黄埔区 】
6-11k
广州清研华园教育科技有限公司
汽车 融资未公开 50-99人
龚先生
总经理
无人机机务工程
【 芜湖-湾沚区 】
7-12k
联合飞机集团
航空/航天设备 D轮及以上 500-999人
储先生
HR
飞机维修
【 吉林市 】
8-13k
北京首航通飞航空技术有限公司
专业技术服务 1-49人
路先生
首席执行官CEO/总裁/总经理
无人机编程教师
【 北京-顺义区 】
6-12k
北京昀飞科技有限公司
专业技术服务 1-49人
高先生
HR
维修技术员(A160555)
【 苏州-昆山 】
7-10k
峰飞航空科技
航空/航天设备 A轮 500-999人
肖女士
HRBP
飞行保障工程师
【 广州-天河区 】
15-25k·15薪
小鹏汽车
整车制造 已上市 10000人以上
孙女士
机务
【 芜湖-湾沚区 】
8-13k
安徽通用航空有限公司
其他行业 50-99人
骆女士
综合管理
民航维修
【 武汉-洪山区 】
12-20k·14薪
武汉航空仪表有限责任公司
仪器仪表 融资未公开 500-999人
吴女士
HR
无人机教练
【 深圳 】
7-15k
深圳市科路教育科技有限公司
学校教育 50-99人
黄女士
人事行政主管
制造工程师（机加工方向）
【 绍兴-新昌县 】
7-13k·14薪
万丰集团
汽车零部件及配件 战略融资 10000人以上
平女士
人事科长
运行工程师(维修方向)
【 上海-闵行区 】
15-28k·14薪
时的科技
航空/航天设备 B轮 50-99人
李女士
人事专员
飞机维修
【 北京-延庆区 】
8-12k
华远通航
货运/物流/仓储 不需要融资 50-99人
马先生
专员
飞行器维修/保养
【 广州-黄埔区 】
6-15k
亿航智能
航空/航天设备 已上市 500-999人
董先生
hr
航空器部件维修员
【 杭州-萧山区 】
6-14k·13薪
龙兴航电
航空/航天设备 B轮 100-499人
赵先生
维修总监
航空活塞发动机工程师
【 绍兴-新昌县 】
10-20k·14薪
万丰集团
汽车零部件及配件 战略融资 10000人以上
周女士
人力资源部经理
部附件修理主管（机务维修）
【 苏州-虎丘区 】
10-12k
捷德集团
航空/航天设备 融资未公开 50-99人
陈女士
人力资源专员
无人机表演项目销售
【 广州-白云区 】
8-15k
广州执耳文化传播有限公司
专业技术服务 融资未公开 1-49人
罗先生
项目总监
1 2 3 4
搜索
登录/注册
密码登录
+86
获取验证码
同意猎聘《猎聘用户服务协议》及《个人信息保护政策》
公司信息
万丰集团
关注
企业行业： 汽车零部件及配件
人数规模： 10000人以上
职位地址： 绍兴-新昌县万丰航空特色小镇鳌峰路1号
注册资本： 13200.00万人民币
经营范围： 实业投资；生产销售：汽车、摩托车零部件、机械及电子产品；民用航空器进出口；货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据来源：
推荐企业
京新药业
卧龙集团
浙江迎丰科技股份有限公司
浙江三花汽车零部件有限公司
庆铃汽车(集团)有限公司
长江精工钢结构(集团)股份有限公司
相关推荐
相关公司
热门城市
热门招聘
绍兴飞机维修机械师招聘绍兴飞机性能工程师招聘绍兴航空机电维修招聘绍兴飞机机械师招聘绍兴机务员招聘绍兴飞行保障员招聘绍兴客服公司机务维修岗招聘绍兴航务招聘绍兴飞机预测性维修工程师招聘绍兴机务放行招聘绍兴民航放行工程师招聘绍兴飞机维修学员招聘绍兴机务放行工程师招聘绍兴发动机维修技术员招聘绍兴飞机维修理论教员招聘绍兴飞机维修技能教员招聘绍兴飞机机电系统技术员招聘绍兴飞机附件维修工程师招聘绍兴发动机孔探工程师招聘绍兴无人机维修招聘绍兴航空电机维修招聘绍兴机场机务维修招聘绍兴机务放行人员招聘绍兴机务保障人员招聘绍兴无人机技术员招聘绍兴飞机机务工程师招聘绍兴飞行部总监招聘绍兴维修系统实习生招聘绍兴结构修理技工招聘绍兴维修机电工程师招聘
绍兴安卡绍兴市一顺电力科技有限公司绍兴辰港信息科技有限公司北京智行阳光知识产权代理事务所(普通合伙)绍兴分所咸亨股份诸暨市瀚鑫新能源科技有限公司绍兴柯桥雄远纺织有限公司绍兴虞之梦食品有限公司浙江特种电机有限公司浙江天辉科技有限公司绍兴帛仕进出口有限公司绍兴好牛电子商务有限公司绍兴市盛林网络科技有限公司绍兴市运牛电子商务有限公司晶越半导体绍兴迪创建材有限公司兴光可可上海斐而瑞机电科技有限公司
北京招聘网上海招聘网广州招聘网厦门招聘网杭州招聘网郑州招聘网南京招聘网天津招聘网重庆招聘网成都招聘网苏州招聘网商丘招聘网大连招聘网济南招聘网宁波招聘网无锡招聘网青岛招聘网沈阳招聘网台州招聘网西安招聘网武汉招聘网
北京招聘信息上海招聘信息广州招聘信息厦门招聘信息杭州招聘信息郑州招聘信息南京招聘信息天津招聘信息重庆招聘信息成都招聘信息苏州招聘信息商丘招聘信息大连招聘信息济南招聘信息宁波招聘信息无锡招聘信息青岛招聘信息沈阳招聘信息台州招聘信息西安招聘信息武汉招聘信息
当前位置：
绍兴招聘网 > 绍兴飞行器维修/保养招聘 > 售后技术支持工程师招聘
更新时间：2025-12-09",Entry level,Full-time,Information Technology,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327723113,https://za.linkedin.com/jobs/view/%E5%94%AE%E5%90%8E%E6%8A%80%E6%9C%AF%E6%94%AF%E6%8C%81%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4327723113,N/A,N/A,General Search
