Date,Month,Title,Company,Location,Description,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-22,December,Spécialiste Sénior PMO & Project Management,Ooredoo Algerie,"Algiers, Algeria","Finalité:
Planifier les demandes de service et les projets.
Contexte:
Demand & Portoflio Planning.
Missions:
Participer à l’élaboration de la roadmap annuelle du « Technology Project Portfolio »
Piloter les projets « IT Business » et assurer le « Service Delivery »
Collaborer avec les différentes parties prenantes (Clients Internes & Equipes de Développement IT) pour la définition des priorités en matière de développement
Etablir un mapping entre les ressources disponibles et demandes en cours
Coordonner les opérations lors de lancements des produits développés.
Mettre en œuvre les différents process de gestion de projet et s’assurer de la conformité de leur application
Identifier et communiquer les changements relatifs aux plans de gestion de projets aux parties prenantes
Participer à l’identification et évaluation les risques
Surveiller et contrôler l’exécution des activités des projets
Préparer les rapports de performance et de suivi des projets
S’assurer de la conformité d’application des process de gestion de projet
Documenter et conserver les enregistrements des processus de planification / exécution de projet
Expérience Minimum & Connaissances essentielles:
Entre 1 et 3 ans dans le domaine
Connaissances avérées dans le domaine de gestion et la planification des projets
Une excellente maitrise de Microsoft Project Desktop
Connaissance sur l’environnement Project Online/Server.
Connaissance des standards PMI et les méthodes Agile (Scrum Master)
Maitrise des langues : Français, Anglais et Arabe (parlé et écrit)
Maitrise de la suite MS Office : Outlook, Word, Excel, PowerPoint…:
Qualifications minimales d'entrée/ d’admission:
Bac+4, ou equivalent, dans un domaine technique ou de gestion",Associate,Full-time,Information Technology,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328474403,https://dz.linkedin.com/jobs/view/sp%C3%A9cialiste-s%C3%A9nior-pmo-project-management-at-ooredoo-algerie-4328474403,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-22,December,Responsable Juridique,Laboratoires Pharmalliance,"Ouled Fayet, Algiers, Algeria","Lieu de travail
Ouled Fayet
Secteur d'activité
Industries
Date d'expiration
19 février 2026
Niveau de poste
Confirmé / Expérimenté
Nombre de postes
1 poste ouvert
Type de contrat
CDD Ou Mission
Niveau d'étude (diplome)
Master 2, Ingéniorat, Bac + 5
Missions
Assister les dirigeants et opérationnels dans tous les domaines du droit et assurer le conseil et la veille juridique recherches législatives et règlementaires ;
Elaborer, rédiger et réviser les contrats de tout type ;
Contrôler la conformité juridique des actes et des décisions ;
Représenter l’entreprise devant les autorités ;
Coordonner et gérer la relation avec les avocats, institutions, autorités juridiques et autres administrations ;
Gérer et suivre le précontentieux et le contentieux ;
Assurer le secrétariat juridique et accomplir les formalités juridiques consécutives.
Profil
BAC +5 (Licence en droit + CAPA)
Bonnes connaissances de la réglementation en vigueur et procédures juridiques
Maitrise rédactionnelle en langue arabe et française
Maitrise de la gestion documentaire des actes juridiques ;
Capacité de synthèse, d’analyse et de négociation ;
Réactivité dans la proposition de solutions adéquates aux problématiques posées ou rencontrées ;
Autonome, bonne capacité de travail en groupe ;
Discrétion et respect de la confidentialité ;
Connaissance du marché du pharma serait un atout
Emploitic est un établissement de placement agréé par l'état et par l'ANEM sur la wilaya d'Alger. Cette annonce est diffusée à titre informatif et promotionnel",Mid-Senior level,Full-time,Legal,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345761989,https://dz.linkedin.com/jobs/view/responsable-juridique-at-laboratoires-pharmalliance-4345761989,Bac+5 / Master / Ingénieur,Confirmé (3-5 ans),General Search
2025-12-22,December,Ingénieur O&m Data Centers Facilities(Power),Ooredoo Algerie,"Algiers, Algeria","Finalité :
Assurer et exécuter des opérations de maintenance des équipements d’environnements d’infrastructure technique et équipements Telecom passif, DDF ODF et réseau LAN sis au Switch et Data Center ainsi que dans les salles techniques.
Vue d'ensemble :
Analyser et résoudre des problèmes et incident lié à son domaine de spécialisation
Conseiller et orienter ses clients internes
Développer et maintenir un réseau de contacts clés dans son secteur (autres compagnies, fournisseurs, organismes, etc.)
Planifier, gérer et faire le suivi de divers projets
Se tenir au courant des meilleures pratiques à l'intérieur de son domaine d’activité (veille concurrentielle)
Contrôler la progression par rapport aux étapes et aux échéances définies
Collaborer avec les autres membres de l'équipe afin d’atteindre les objectifs fixés
Partager volontairement l'information, ses connaissances et ses expériences
Traiter & Suivre les Incident Management affectés à l’équipe DATA Centre Facilites Power
Planifier et Suivre les MP sur les plateformes power critique (UPS’s ,Batterties, Rectifiers’s)
Expérience requise :
De 0 à 3 ans dans le domaine technique (télécom, maintenance industriel, régulation et /ou automatisme)
Qualifications requises :
BAC + 5 Telecom ou Domaine Technique",Entry level,Full-time,Information Technology,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328474054,https://dz.linkedin.com/jobs/view/ing%C3%A9nieur-o-m-data-centers-facilities-power-at-ooredoo-algerie-4328474054,Bac,0 ans/years,General Search
2025-12-22,December,Accountant,Novo Nordisk,"Algiers, Algiers, Algeria","Combine your financial expertise with interpersonal skills, and thrive in a diverse and multicultural work environment with a company that serves patients with chronic diseases.
Keep reading, we have the right opportunity for you!
Your new role
As an Accountant in Novo Nordisk Algeria, you will be ensuring accurate and compliant financial operations, adhering to local regulations and company guidelines. This includes processing transactions, supporting audits, implementing internal controls, managing treasury activities, and maintaining proper tax and account management.
Main responsibilities include:
Process and correct accounting transactions in SAP according to local regulations and Novo Nordisk Accounting guidelines.
Support annual audits by providing necessary information, answering auditor queries, and performing preliminary compliance checks.
Implement and improve Internal Control Questionnaires to enhance control efficiency.
Monitor treasury activities, perform cash counts, and reconcile bank accounts on a daily, weekly, and monthly basis.
Ensure compliance with local tax rules, maintain communication with tax authorities, and manage backup tasks for colleagues.
Your Skills & Qualifications
We are expecting you to hold the below skills and knowledge:
University / Master’s degree in accounting, finance or related area.
2+ years of experience in a similar position.
Excellent organizational skills and ability to work in a fast-paced environment.
Ability to organize work based on priorities.
Experience with SAP is preferred.
Languages: English is a must, French, Arabic.
Working at Novo Nordisk
Novo Nordisk is its people. We know that life is anything but linear and balancing what is important at different stages of our career is never easy. That’s why we make room for diverse life situations, always putting people first. We value our employees for the unique skills they bring to the table, and we work continuously to bring out the best in them. Working at Novo Nordisk is working toward something bigger than ourselves, and it’s a collective effort. Together, we go further. Together, we’re life changing.
What We Offer
At Novo Nordisk, we offer more than just a base salary - we invest in your growth, well-being, and sense of belonging. Employees receive performance-based incentives, and a comprehensive benefits package that includes generous vacation allowances, pension and severance contributions, health insurance, and additional perks. Professional development support further enhances the overall offering. You’ll also enjoy recognition for milestones, social events, and a supportive, purpose-driven culture where everyone’s contribution truly matters.
Contact
To submit your application, please upload your CV online (click on Apply and follow the instructions).
Deadline
Apply before January 4, 2026. Applications are reviewed on an ongoing basis.
We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.
We’re not your typical healthcare company. In a modern world of quick fixes, we focus on solutions to defeat serious chronic diseases and promote long-term health. Our unordinary mindset is at the heart of everything we do. We seek out new ideas and put people first as we push the boundaries of science, make healthcare more accessible, and treat, prevent, and even cure diseases that affect millions of lives. Because it takes an unordinary approach to drive real, lasting change in health.",Not Applicable,Full-time,Accounting/Auditing and Finance,Pharmaceutical Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328584524,https://dz.linkedin.com/jobs/view/accountant-at-novo-nordisk-4328584524,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-22,December,Satış Operasyonları Müdürü,Erdoor,"Algiers, Algeria","Cezayir’in başkenti Algerde faaliyet gösteren fabrikamızın satış operasyonlarını sahada aktif şekilde yönetecek, CRM odaklı satış sistemleri kurabilecek ve ekip yönetimi tecrübesi olan Satış Müdürü arıyoruz.
Aranan Nitelikler:
Kuzey Afrika (özellikle Cezayir, Fas, Tunus) pazarında satış tecrübesi
Yapı malzemeleri / yapı marketi / inşaat ürünleri satış geçmişi
CRM sistemi kurma ve aktif kullanma tecrübesi
Daha önce satış ekibi kurmuş ve yönetmiş
Zamanının büyük bölümünü sahada müşteri ziyaretlerinde geçirebilecek
Arapça akıcı veya ileri seviyede Fransızca
B2B satış, bayi ve müteahhit kanallarına hâkim
Hedef ve performans odaklı, sonuç üreten
Temsil, ikna ve pazarlık kabiliyeti güçlü
Sorumluluklar
Tüm satış operasyonlarını yönetmek
CRM altyapısını kurmak ve satış süreçlerini sisteme entegre etmek
Satış ekibini oluşturmak, eğitmek ve sahada yönetmek
Günlük / haftalık saha ziyaret planlarını oluşturmak ve bizzat uygulamak
Yeni B2B müşteriler, bayiler ve proje satışları geliştirmek
Dijital ve sahadaki satış kanallarını entegre şekilde büyütmek
Satış performansı ve pazar geri bildirimlerini düzenli raporlamak",Mid-Senior level,Full-time,"Sales, Marketing, and Management","International Trade and Development, Wholesale Building Materials, and Retail Building Materials and Garden Equipment",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328603414,https://dz.linkedin.com/jobs/view/sat%C4%B1%C5%9F-operasyonlar%C4%B1-m%C3%BCd%C3%BCr%C3%BC-at-erdoor-4328603414,N/A,N/A,General Search
2025-12-22,December,Internal Audit Manager,Afia Algérie,"Oran, Algeria","Join Afia International Algeria Team | Internal Audit Manager
We are expanding our audit function and are looking for an experienced Internal Audit Manager to play a key role in strengthening our internal controls and operational excellence.
What we’re looking for:
Degree in Accounting, Auditing, or Business Administration
8–10 years’ experience in Internal & External Auditing
Proven Big 4 background (minimum 3 years)
Strong exposure to FMCG operations and finance
Excellent communication skills in English
Strong MS Office skills; Oracle/SAP experience is a plus",Executive,Full-time,"Accounting/Auditing, Finance, and Analyst",Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328674225,https://dz.linkedin.com/jobs/view/internal-audit-manager-at-afia-alg%C3%A9rie-4328674225,Bac,3 ans/years,General Search
2025-12-22,December,Head Of Content,Sports United,"Heliopolis, Guelma, Algeria","Company Description
We suggest you enter details here.
Role Description
This is a full-time, on-site role located in Heliopolis for the Head of Content at Sports United. The Head of Content will oversee and manage the entire content creation, curation, and strategy process. Daily responsibilities will include leading content teams, developing and implementing content strategies, overseeing the production of high-quality written and visual content, managing editorial calendars, and ensuring content aligns with the company’s branding and goals. The candidate will also be responsible for analyzing content performance metrics and driving innovative content initiatives to engage the target audience and enhance brand presence.
Qualifications
Proven expertise in Content Strategy, Content Creation, and Content Marketing
Strong skills in Writing, Editing, and Proofreading to create and refine engaging, error-free content
Experience with Digital Marketing, SEO optimization, and audience engagement techniques
Leadership qualities and team management experience to guide content teams effectively
Strong analytical and project management skills to evaluate content performance and meet deadlines
Knowledge of the sports industry is a significant advantage
Exceptional communication skills and the ability to work collaboratively with cross-functional teams
Bachelor’s degree in Journalism, Communications, Marketing, or a related field is preferred",Director,Full-time,N/A,Advertising Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328454880,https://dz.linkedin.com/jobs/view/head-of-content-at-sports-united-4328454880,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-22,December,HSE Specialist,DHL Global Forwarding,"Oran, Oran, Algeria","DHL Global Forwarding is looking for an HSE Specialist to play a key role in overseeing and managing the daily health and safety requirements within our warehouse operations.
Job Description
In this role you will:
Improve, implement, monitor and update the BU HSE Activities in terms of: procedures, risk assessment, Emergency plan, management system certification, training;
Support HSE activities: in Customer audit/Site Visit:
Create reporting (Accident /CAPA)
Support Awareness and Behavioral Based Safety Providing Training and promoting meeting;
Minimize risk within area of responsibility.
Support tender preparation & start-up in HSE issues
Manage and improve Risk assessment and emergency plan (according to D.Lgs81/08);
Support local managers in H&S management of unsafe acts/conditions/near miss /incident Injuries.
What we need from you:
Bachelor/Master Degree in Safety Engineer studies or similar;
2-4 years experience within HSE Dpt of Manufacturing/Supply Chain Industries;
Certified auditor according to ISO 14001, OHSAS18001(ISO 45001) will be a plus
Ability to deliver training in an enthusiastic manner
Excellent in Excel and in MS Office;
Good knowledge of PowerBI;
Good knowledge of English",Mid-Senior level,Full-time,Management and Manufacturing,"Transportation, Logistics, Supply Chain and Storage",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345671229,https://dz.linkedin.com/jobs/view/hse-specialist-at-dhl-global-forwarding-4345671229,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-22,December,Responsable Assurance Qualité,SMART METROLOGY,"Bir el-Djir, Oran, Algeria","The ideal candidate is a critical thinker who will proactively improve the quality systems of the company through internal audits, participation in process improvement programs, and interaction with key partners to obtain constructive feedback.
Qualifications
Bachelor's degree or equivalent experience in Engineering
5+ years' relevant work experience
Highly organized with excellent attention to detail",Mid-Senior level,Full-time,N/A,Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345742344,https://dz.linkedin.com/jobs/view/responsable-assurance-qualit%C3%A9-at-smart-metrology-4345742344,Bac+8 / Doctorat,5 ans/years,General Search
2025-12-22,December,LEGAL COUNSEL REGULATORY ( VEILLE RÉGLEMENTAIRE),BNP Paribas,"Algiers, Algiers, Algeria","Le Conseiller juridique– Regulatory est un expert juridique dans son domaine, pour les produits et activités de son domaine. Elle / Il fournit des conseils juridiques et assure des interprétations juridiques pour ses clients internes (Métiers, autres Conseils juridiques…) afin de soutenir au mieux la stratégie du Groupe.
Activités principales
Fournir des conseils juridiques indépendants / experts aux entreprises et/ou autres conseillers juridiques sur leurs activités
Fournir des conseils et des consultations, sur mesure ou globales, adaptés aux besoins des clients
Rédiger ou participer à la rédaction de documents juridiques spécifiques
Définir, en consultation avec les clients, la stratégie juridique à adopter dans une affaire
Identifier, soulever et escalader les risques juridiques conformément aux procédures LEGAL
Contribuer au respect juridique des activités relevant de son périmètre
Animer ou participer à des projets transversaux et/ou à des projets
Mettre au point un système de contrôle périodique et garantir la mise en œuvre de rapports réguliers
Suivre l'évolution du marché et de la réglementation en lien avec les activités pertinentes
Activités spécifiques
Contribuer à la détermination de la politique juridique
Participer en coordination aux travaux sur les projets de textes, participer à l’interprétation et à la mise en œuvre cohérente des textes et de la jurisprudence
Participer à la rédaction des politiques et/ou des notes de procédure juridique, assurer leur validation et garantir leur diffusion Participation à des groupes de travail organisés par les régulateurs et les associations industrielles
Contribuer à l’analyse des principaux risques juridiques à l’échelle mondiale pour détecter les tendances réglementaires et proposer des suivis spécifiques
Organiser, réaliser et réviser la veille juridique (identification textuelle) et diffuser l’information
Animation et coordination d’un réseau de veille réglementaire
Planification, surveillance, gestion, production de rapports et examen des projets de réglementation",Mid-Senior level,Full-time,Legal,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328564744,https://dz.linkedin.com/jobs/view/legal-counsel-regulatory-veille-r%C3%A9glementaire-at-bnp-paribas-4328564744,N/A,N/A,General Search
